id,term,layer,stratum,meaning_rioplatense,meaning_other_variety,other_variety,confidence,needs_verification,notes,context_fragment,source_song,source_artist,source_year,source_url
LB-001,facha,falso_amigo,trap,"buen aspecto, estilo",fascista,ES,alta,no,,"Entro en un chanteo bien fina, bien guacha / Bien turra, bien facha, me gusta tu hacha / Con to' los vago' en la chata",Butakera,La Joaqui,2022,https://genius.com/La-joaqui-alan-gomez-and-el-noba-butakera-lyrics
LB-002,prolijo,falso_amigo,tango,"ordenado, pulcro (positivo)",excesivamente largo/pesado (negativo),ES,alta,no,,,,,,
LB-003,boliche,falso_amigo,trap,"discoteca, bar nocturno",bolera (bowling),MX,alta,no,,"metí como un warrior / Y empezamo' a ver plata con gira', boliche' hasta llegar a los escenario' / Y te hablo de nosotro', que","Duki: Bzrp Music Sessions, Vol. 50/66",Bizarrap,2022,https://genius.com/Bizarrap-and-duki-duki-bzrp-music-sessions-vol-50-66-lyrics
LB-004,torta,falso_amigo,trap,pastel,bofetada / sandwich,ES / MX,alta,no,,"que agradezcamo', vamo' / ¿Por qué se hacen los honesto' si la torta que tienen la hacen a costa del resto? / Te exigen paz,",Sangría,Trueno,2020,https://genius.com/Trueno-and-wos-sangria-lyrics
LB-005,vereda,falso_amigo,tango,acera,sendero rural,ES,alta,no,,"La esquina del herrero barro y pampa / Tu casa, tu vereda y el zanjon / Y un perfume de yuyos y de alfalfa",Sur,Anibal Troilo,1948,https://genius.com/Anibal-troilo-sur-lyrics
LB-006,pendejo,falso_amigo,trap,"chico, adolescente","tonto, cobarde",MX,alta,no,,,,,,
LB-007,capo,falso_amigo,trap,"el mejor, crack (elogio)",jefe mafioso,ES/IT,alta,no,,,,,,
LB-008,coger,falso_amigo,trap,vulgar (acto sexual),"agarrar, tomar (el tren)",ES,alta,no,,,,,,
LB-009,concha,falso_amigo,trap,vulgar (genitales femeninos),"caparazon, concha marina",general,alta,no,,,,,,
LB-010,saco,falso_amigo,tango,"campera, blazer","bolsa, costal",ES,alta,no,,,,,,
LB-011,pileta,falso_amigo,tango,piscina,"pila, recipiente pequeno",ES,media,si,,,,,,
LB-012,mango,falso_amigo,tango,"plata, dinero (slang)",la fruta mango,ES/MX,alta,no,,Cuando rajés los tamangos / Buscando este mango / Que te haga morfar,"Yira, Yira",Carlos Gardel,1930,https://genius.com/Carlos-gardel-yira-yira-lyrics
LB-013,cana,falso_amigo,tango,policia,cabello gris (una cana),ES,alta,no,,,,,,
LB-014,gamba,falso_amigo,trap,pierna (slang),"camaron, langostino",ES/IT,alta,no,,,,,,
LB-015,departamento,falso_amigo,tango,"apartamento, vivienda",seccion de tienda/oficina,ES,media,si,,,,,,
LB-016,cargar,falso_amigo,trap,burlarse de alguien (cargar a alguien),solo cargar/llevar peso,ES,media,si,,,,,,
LB-017,curro,falso_amigo,tango,"estafa, trampa (me hicieron un curro)",trabajo (uso neutro y coloquial),ES,alta,no,,,,,,
LB-018,macana,falso_amigo,tango,"mentira, error, lio","garrote, palo (arma)",general,media,si,,,,,,
LB-019,bombacha,falso_amigo,tango,ropa interior femenina,pantalon ancho gauchesco,otros paises,media,si,,,,,,
LB-020,mina,falso_amigo,tango,"mujer, chica (slang)",yacimiento mineral (sentido literal unico),ES,alta,no,,La lanceaba sin tener el manyamiento / Una mina le solfeaba todo el vento / Y jugó con su pasión,El Ciruja,Edmundo Rivero,1926,https://genius.com/Edmundo-rivero-el-ciruja-lyrics
LB-021,china,falso_amigo,tango,"mujer, companera (lunfardo/gauchesco, comun en tango)",gentilicio de China,general,media,si,,,,,,
LB-022,prenda,falso_amigo,tango,termino carinoso para la pareja (tango: mi prenda querida),prenda de vestir / garantia legal,general,media,si,,,,,,
LB-023,gaucho,falso_amigo,tango,"hombre de campo, figura cultural","amable, servicial (adjetivo coloquial)",ES,media,si,,,,,,
LB-024,banda,falso_amigo,trap,"mucho, muchos (hay una banda de gente)",banda musical / franja,general,media,si,,,,,,
LB-025,colectivo,falso_amigo,trap,autobus urbano,"adjetivo (colectivo/colectiva), no sustantivo de vehiculo",ES,alta,no,,,,,,
LB-026,joda,falso_amigo,tango,"fiesta, diversion (estar de joda)","molestia, fastidio (no jodas)",general,media,si,,,,,,
LB-027,recibirse,falso_amigo,trap,graduarse de una carrera,"sentido literal, ser recibido/atendido",ES,media,si,,,,,,
LB-028,valija,falso_amigo,trap,valija de uso cotidiano (maleta),"uso mas restringido, valija diplomatica",ES,baja,si,,,,,,
LB-029,campera,falso_amigo,trap,"chaqueta, abrigo","palabra poco usada, sin significado equivalente claro",ES,baja,si,,,,,,
LB-030,pollera,falso_amigo,tango,falda,sentido historico: mujer que cria/vende gallinas,ES,baja,si,,Yo soy zorro viejo y te quiero bien / Abajate la pollera por donde nace el tobillo / Dejate crecer el pelo y un buen,Atenti Pebeta,Edmundo Rivero,1929,https://genius.com/Edmundo-rivero-atenti-pebeta-lyrics
LB-031,bicho,falso_amigo,trap,insecto; tambien persona astuta (es un bicho),"mayormente solo insecto, sin la segunda acepcion",ES,media,si,,"Es que acá todos mienten y soy desconfiado / Que me mame el bicho, estoy malandrizado / El bando e' Venezuela está para mi lado",Hello Cotto,Duki,2017,https://genius.com/Duki-hello-cotto-lyrics
